CustomerID,LocationID,Gender,Age,Married,NumberOfDependents,NumberOfReferrals
0301-FIDRB,175,Female,61,Yes,3,8
0301-KOBTQ,176,Male,50,No,0,0
0302-JOIVN,177,Female,47,Yes,0,1
0303-UNCIP,178,Male,35,No,0,0
0303-WMMRN,179,Male,32,No,0,0
0305-SQECB,180,Female,54,No,1,0
0306-JAELE,89,Male,61,No,0,0
0307-BCOPK,181,Female,62,No,0,0
0308-GIQJT,182,Male,80,No,0,0
0308-IVGOK,183,Female,23,No,0,0
0310-MVLET,184,Female,63,Yes,0,1
0310-SUCIN,185,Female,50,Yes,0,2
0310-VQXAM,186,Male,56,No,0,0
0311-QYWSS,187,Female,63,No,0,0
0311-UNPFF,188,Female,58,No,0,0
0314-TKOSI,189,Female,29,No,0,0
0315-LVCRK,190,Male,54,No,0,0
0318-QUUOB,191,Male,25,Yes,0,1
0318-ZOPWS,192,Female,31,Yes,0,10
0319-QZTCO,193,Female,25,Yes,2,9
0320-DWVTU,172,Female,46,No,0,0
0320-JDNQG,194,Male,28,Yes,0,1
0322-CHQRU,195,Male,63,No,0,0
0322-YINQP,196,Male,37,No,0,0
0323-XWWTN,197,Male,44,No,1,0
0324-BRPCJ,195,Female,74,Yes,0,1
0325-XBFAC,198,Male,44,No,0,0
0326-VDYXE,199,Female,21,Yes,0,9
0327-WFZSY,200,Male,62,Yes,3,9
0328-GRPMV,201,Female,43,No,0,0
0329-GTIAJ,121,Female,40,No,0,0
0330-BGYZE,202,Male,48,Yes,0,8
0330-IVZHA,203,Female,55,Yes,0,1
0334-GDDSO,76,Male,77,No,0,0
0334-ZFJSR,204,Female,41,Yes,0,0
0336-KXKFK,205,Male,43,No,0,0
0336-PIKEI,206,Male,69,Yes,0,7
0337-CNPZE,207,Female,63,No,0,0
0343-QLUZP,208,Male,38,No,0,0
0345-HKJVM,177,Female,43,No,0,0
0345-XMMUG,209,Female,29,Yes,0,6
0347-UBKUZ,210,Female,46,No,0,0
0348-SDKOL,128,Female,33,Yes,0,1
0354-VXMJC,211,Male,60,Yes,3,10
0354-WYROK,212,Female,70,Yes,0,1
0356-ERHVT,213,Male,54,Yes,0,1
0356-OBMAC,214,Female,80,No,0,0
0357-NVCRI,215,Female,41,No,3,0
0361-HJRDX,216,Female,38,No,0,0
0362-RAOQO,217,Female,48,No,0,0
0362-ZBZWJ,218,Male,46,No,0,0
0363-QJVFX,219,Male,22,No,0,0
0363-SVHYR,220,Male,28,Yes,3,10
0365-BZUWY,221,Male,58,Yes,0,2
0365-GXEZS,222,Male,55,Yes,0,6
0365-TRTPY,223,Female,52,No,0,0
0366-NQSHS,224,Male,42,No,0,0
0369-ZGOVK,225,Female,56,Yes,2,6
0373-AIVNJ,226,Male,34,No,0,0
0374-AACSZ,227,Female,63,No,0,0
0374-FIUCA,228,Male,59,Yes,0,1
0374-IOEGQ,229,Female,62,No,0,0
0375-HVGXO,230,Female,31,No,0,0
0376-OIWME,231,Male,24,Yes,0,3
0376-YMCJC,232,Male,21,No,0,0
0377-JBKKT,233,Male,21,Yes,3,9
0378-CJKPV,234,Female,56,Yes,0,1
0378-NHQXU,235,Female,31,Yes,0,7
0378-TOVMS,236,Female,20,No,0,0
0378-XSZPU,237,Male,31,Yes,0,1
0379-DJQHR,238,Male,60,Yes,0,1
0380-NEAVX,239,Male,72,No,0,0
0380-ZCSBI,160,Male,56,No,0,0
0383-CLDDA,240,Female,42,No,0,0
0384-LPITE,241,Male,38,No,0,0
0384-RVBPI,129,Male,64,No,0,0
0386-CWRGM,242,Female,61,Yes,1,9
0388-EOPEX,243,Female,28,Yes,0,1
0390-DCFDQ,244,Female,76,Yes,2,1
0392-BZIUW,245,Female,44,Yes,0,7
0394-YONDK,246,Male,28,Yes,3,0
0396-HUJBP,247,Female,34,No,0,0
0396-UKGAI,248,Male,25,No,3,0
0396-YCHWO,249,Male,58,Yes,0,4
0397-GZBBC,250,Male,70,Yes,0,0
0397-ZXWQF,251,Male,24,No,0,0
0401-WDBXM,252,Male,22,Yes,3,4
0402-CQAJN,253,Female,22,No,0,0
0402-OAMEN,254,Female,36,Yes,1,4
0404-AHASP,255,Male,23,Yes,0,10
0404-SWRVG,256,Male,21,No,2,0
0406-BPDVR,257,Female,75,Yes,0,0
0407-BDJKB,258,Male,59,Yes,0,1
0409-WTMPL,259,Female,35,Yes,0,8
0410-IPFTY,260,Female,64,Yes,0,1
0411-EZJZE,261,Female,62,No,0,0
0412-UCCNP,262,Male,20,No,0,0
0415-MOSGF,263,Female,58,No,0,0
0419-YAAPX,264,Male,44,Yes,0,1
0420-BWTPW,128,Male,40,No,0,0
0420-HLGXF,46,Female,72,No,0,0
0420-TXVSG,265,Male,43,Yes,0,9
0422-OHQHQ,266,Female,23,Yes,0,7
0422-UXFAP,128,Female,34,Yes,0,1
0423-UDIJQ,184,Male,74,No,0,0
0426-TIRNE,267,Female,54,No,0,0
0428-AXXLJ,268,Male,29,No,0,0
0428-IKYCP,269,Male,56,Yes,0,9
0430-IHCDJ,270,Male,40,No,0,0
0431-APWVY,232,Female,37,Yes,0,1
0432-CAJZV,88,Male,47,No,0,0
0434-CSFON,271,Female,34,Yes,0,3
0436-TWFFZ,272,Female,21,No,0,0
0439-IFYUN,124,Female,78,No,0,0
0440-EKDCF,273,Male,47,Yes,0,1
0440-MOGPM,274,Female,51,No,0,0
0440-QEXBZ,275,Female,64,No,0,0
0440-UEDAI,276,Female,59,No,0,0
0442-TDYUO,277,Male,44,Yes,0,4
0442-ZXKVS,278,Female,79,Yes,0,2
0447-BEMNG,279,Female,28,Yes,0,3
0447-RXSGD,280,Male,39,No,0,0
0454-OKRCT,281,Male,32,No,0,0
0455-ENTCR,282,Male,58,Yes,0,1
0455-XFASS,283,Female,61,Yes,2,3
0458-HEUZG,284,Female,58,No,0,0
0459-SPZHJ,285,Male,19,Yes,0,1
0461-CVKMU,286,Female,45,Yes,0,0
0463-TXOAK,287,Male,26,No,1,0
0463-WZZKO,288,Male,23,No,0,0
0463-ZSDNT,289,Male,23,No,0,0
0464-WJTKO,290,Female,39,Yes,2,10
0468-YRPXN,291,Male,62,No,0,0
0471-ARVMX,292,Female,70,Yes,0,8
0471-LVHGK,293,Male,34,Yes,0,1
0475-RIJEP,294,Male,47,No,0,0
0479-HMSWA,145,Female,63,No,1,0
0480-BIXDE,295,Female,58,Yes,0,9
0480-KYJVA,296,Female,42,Yes,3,8
0481-SUMCB,297,Female,74,No,0,0
0484-FFVBJ,298,Male,43,No,0,0
0484-JPBRU,274,Male,23,No,0,0
0485-ZBSLN,299,Male,52,Yes,2,4
0486-HECZI,300,Male,37,Yes,1,0
0486-LGCCH,301,Male,48,Yes,2,2
0487-CRLZF,302,Female,58,No,0,0
0487-RPVUM,303,Male,49,Yes,0,1
0487-VVUVK,304,Male,49,Yes,2,5
0488-GSLFR,305,Female,41,No,0,0
0489-WMEMG,25,Female,61,No,3,0
0491-KAPQG,306,Male,28,No,0,0
0495-RVCBF,193,Female,39,No,0,0
0495-ZBNGW,307,Male,78,Yes,0,1
0496-AHOOK,308,Male,61,Yes,0,10
0504-HHAPI,309,Female,72,No,0,0
0505-SPOOW,310,Female,41,Yes,0,7
0506-LVNGN,311,Female,78,No,0,0
0506-YLVKJ,312,Male,54,Yes,1,1
0508-OOLTO,313,Female,33,Yes,1,5
0508-SQWPL,314,Female,32,Yes,3,9
0511-JTEOY,315,Female,41,No,0,0
0512-FLFDW,26,Female,74,Yes,0,3
0513-RBGPE,11,Male,57,Yes,0,6
0515-YPMCW,316,Male,42,No,0,0
0516-OOHAR,317,Male,39,Yes,2,8
0516-QREYC,318,Female,78,No,0,0
0516-UXRMT,123,Female,27,No,0,0
0516-VRYBW,319,Female,39,No,0,0
0516-WJVXC,320,Female,21,No,0,0
0519-DRGTI,321,Female,58,Yes,3,9
0519-XUZJU,322,Female,56,No,0,0
0520-FDVVT,323,Male,26,No,0,0
0523-VNGTF,324,Female,78,No,0,0
0524-IAVZO,325,Female,25,Yes,0,1
0526-SXDJP,326,Male,36,Yes,0,7
0529-ONKER,327,Male,70,No,0,0
0530-IJVDB,328,Male,36,No,2,0
0531-XBKMM,329,Male,37,No,2,0
0531-ZZJWQ,89,Male,68,Yes,0,6
0533-BNWKF,76,Female,66,Yes,0,2
0533-UCAAU,330,Male,72,Yes,0,2
0536-ACXIP,331,Female,34,Yes,0,9
0536-BGFMZ,332,Female,27,Yes,0,3
0536-ESJEP,333,Male,48,Yes,0,8
0537-QYZZN,334,Male,66,Yes,2,6
0541-FITGH,335,Female,59,Yes,0,6
0547-HURJB,336,Male,19,No,2,0
0549-CYCQN,337,Male,69,No,0,0
0550-DCXLH,338,Male,64,No,0,0
0556-FJEGU,339,Male,26,No,0,0
0557-ASKVU,242,Female,43,Yes,0,2
0559-CKHUS,340,Female,44,Yes,0,6
0562-FGDCR,341,Female,61,Yes,3,9
0562-HKHML,342,Male,39,Yes,1,9
0562-KBDVM,343,Female,62,No,0,0
0564-JJHGS,344,Male,45,No,0,0
0564-MUUQK,345,Female,28,Yes,2,5
0565-IYCGT,128,Male,51,No,0,0
0565-JUPYD,346,Male,26,No,0,0
0567-GGCAC,347,Female,38,No,0,0
0567-XRHCU,348,Female,19,Yes,1,7
0568-ONFPC,349,Male,34,Yes,1,1
0570-BFQHT,203,Female,38,No,0,0
0572-ZJKLT,350,Female,32,Yes,1,10
0575-CUQOV,351,Male,76,Yes,0,10
0576-WNXXC,27,Male,70,Yes,0,1
0577-WHMEV,352,Female,19,Yes,0,2
0578-SKVMF,353,Female,23,Yes,0,4
0580-PIQHM,243,Female,21,Yes,1,7
0581-BXBUB,354,Female,76,No,0,0
0581-MDMPW,355,Female,63,No,0,0
0582-AVCLN,356,Female,43,No,0,0
0584-BJQGZ,305,Female,19,No,0,0
0585-EGDDA,357,Male,41,Yes,0,8
0587-DMGBH,358,Female,48,No,0,0
0594-UFTUL,359,Male,35,Yes,3,1
0595-ITUDF,360,Male,21,Yes,1,0
0596-BQCEQ,361,Female,32,Yes,0,1
0599-XNYDO,362,Female,51,Yes,0,0
0601-WZHJF,363,Male,53,Yes,0,1
0602-DDUML,89,Female,21,No,0,0
0603-OLQDC,364,Male,41,No,1,0
0603-TPMIB,365,Female,40,Yes,2,0
0604-THJFP,366,Female,40,Yes,0,4
0607-DAAHE,367,Male,62,No,0,0
0607-MVMGC,368,Male,33,Yes,0,3
0608-JDVEC,369,Male,55,Yes,0,5
0611-DFXKO,370,Male,35,Yes,0,1
0612-RTZZA,371,Female,77,No,0,0
0613-WUXUM,372,Female,38,Yes,3,1
0616-ATFGB,373,Male,74,Yes,0,1
0617-AQNWT,374,Female,61,Yes,0,5
0617-FHSGK,375,Male,62,No,0,0
0618-XWMSS,376,Male,60,No,0,0
0619-OLYUR,377,Male,32,Yes,0,1
0620-DLSLK,378,Female,47,No,0,0
0620-XEFWH,286,Male,41,Yes,1,1
0621-CXBKL,222,Female,62,No,0,0
0621-HJWXJ,379,Female,54,Yes,0,1
0621-JFHOL,380,Female,41,No,0,0
0621-TSSMU,381,Male,29,Yes,0,0
0621-TWIEM,382,Male,28,No,0,0
0623-EJQEG,383,Male,50,No,0,0
0623-GDISB,384,Female,63,No,0,0
0623-IIHUG,76,Female,77,No,0,0
0625-AFOHS,385,Female,40,Yes,1,5
0626-QXNGV,386,Female,55,Yes,0,7
0628-CNQRM,88,Male,49,Yes,0,1
0634-SZPQA,142,Female,64,No,0,0
0635-WKOLD,387,Male,33,Yes,0,0
0637-KVDLV,388,Male,30,No,0,0
0637-UBJRP,389,Male,40,Yes,0,5
0637-YLETY,390,Female,39,No,0,0
0639-TSIQW,391,Female,28,No,0,0
0640-YJTPY,392,Male,19,Yes,1,3
0641-EVBOJ,393,Male,61,No,0,0
0643-OKLRP,329,Female,73,Yes,0,1
0644-OQMDK,394,Male,69,No,0,0
0650-BWOZN,395,Female,71,No,0,0
0654-HMSHN,275,Male,45,Yes,0,1
0654-PQKDW,167,Female,58,Yes,2,5
0655-RBDUG,396,Male,32,No,0,0
0655-YDGFJ,397,Male,34,No,0,0
0657-DOGUM,398,Female,35,Yes,0,1
0661-KBKPA,399,Male,43,Yes,3,7
0661-KQHNK,70,Female,38,Yes,3,0
0661-WCQNQ,400,Male,56,Yes,0,8
0661-XEYAN,401,Female,76,No,0,0
0665-XHDJU,402,Male,21,Yes,0,7
0666-UXTJO,66,Male,80,Yes,0,4
0667-NSRGI,47,Female,45,Yes,0,3
0668-OGMHD,43,Female,20,Yes,0,8
0670-ANMUU,403,Male,47,No,0,0
0670-KDOMA,404,Female,42,No,0,0
0673-IGUQO,405,Male,26,No,0,0
0674-DGMAQ,406,Male,78,Yes,0,9
0674-EYYZV,407,Female,41,No,0,0
0674-GCDXG,408,Male,20,No,0,0
0675-NCDYU,409,Female,61,Yes,2,1
0678-RLHVP,104,Female,33,No,0,0
0679-IDSTG,410,Female,73,Yes,0,1
0679-TDGAK,411,Male,29,Yes,1,1
0680-DFNNY,412,Male,62,Yes,0,1
0682-USIXD,413,Female,40,Yes,0,7
0684-AOSIH,414,Male,42,Yes,0,1
0685-MLYYM,415,Female,74,No,0,0
0687-ZVTHB,416,Male,24,Yes,0,1
0689-DSXGL,417,Female,61,Yes,1,3
0689-NKYLF,418,Male,42,No,0,0
0690-SRQID,419,Male,20,No,0,0
0691-IFBQW,347,Female,65,No,0,0
0691-JVSYA,378,Female,24,Yes,0,5
0691-NIKRI,420,Female,41,No,0,0
0696-UKTOX,374,Male,64,No,1,0
0697-ZMSWS,421,Male,19,No,0,0
0699-NDKJM,422,Female,45,Yes,0,1
0701-RFGFI,314,Female,56,Yes,6,6
0701-TJSEF,423,Male,45,No,0,0
0702-PGIBZ,424,Male,28,No,0,0
0704-VCUMB,425,Female,64,Yes,0,1
0707-HOVVN,426,Female,79,No,0,0
0708-LGSMF,427,Male,56,Yes,0,1
0708-SJDIS,428,Female,32,No,0,0
0709-TVGUR,429,Female,70,No,0,0
0716-BQNDX,430,Male,77,No,0,0
0719-SYFRB,217,Female,52,No,0,0
0722-SVSFK,431,Female,45,No,0,0
0722-TROQR,432,Female,68,No,0,0
0723-DRCLG,89,Female,73,Yes,0,1
0723-FDLAY,433,Male,54,No,0,0
0723-VSOBE,434,Female,67,No,0,0
0725-CXOTM,435,Female,29,No,0,0
0727-BMPLR,436,Female,66,No,0,0
0727-BNRLG,437,Male,41,No,0,0
0727-IWKVK,40,Male,35,Yes,0,0
0730-BGQGF,438,Male,48,Yes,3,1
0730-KOAVE,439,Male,53,No,0,0
0731-EBJQB,440,Female,24,Yes,0,3
0732-OCQOC,170,Female,30,Yes,0,10
0733-VUNUW,258,Male,43,No,0,0
0734-OXWBT,441,Male,44,No,1,0
0739-UUAJR,442,Female,61,Yes,1,10
0742-LAFQK,443,Male,52,Yes,0,1
0742-MOABM,89,Male,50,Yes,0,2
0742-NXBGR,444,Female,64,No,0,0
0743-HNPFG,445,Female,50,Yes,0,2
0743-HRVFF,446,Female,42,Yes,3,4
0744-BIKKF,299,Male,39,No,0,0
0744-GKNGE,447,Female,31,Yes,2,0
0746-JTRFU,448,Male,22,No,0,0
0748-RDGGM,449,Male,38,Yes,0,1
0749-IRGQE,450,Female,68,Yes,0,5
0750-EBAIU,451,Male,43,No,0,0
0750-EKNGL,133,Male,44,No,0,0
0754-EEBDC,196,Male,25,Yes,1,1
0754-UKWQP,452,Male,63,No,0,0
0756-MPZRL,453,Male,35,No,0,0
0757-WCUUZ,454,Male,29,Yes,3,1
0761-AETCS,455,Female,58,No,0,0
0769-MURVM,456,Female,44,Yes,2,5
0771-CHWSK,457,Male,56,No,0,0
0771-WLCLA,458,Female,49,Yes,1,8
0772-GYEQQ,47,Male,33,No,0,0
0774-IFUVM,459,Male,19,Yes,2,7
0774-RMNUW,460,Female,44,Yes,1,6
0778-NELLA,461,Male,43,No,0,0
0780-XNZFN,462,Male,60,No,0,0
0781-LKXBR,463,Male,65,No,0,0
0784-GTUUK,464,Male,26,Yes,0,6
0784-ZQJZX,254,Male,22,No,1,0
0786-IVLAW,465,Female,72,No,0,0
0786-VSSUD,204,Male,68,No,0,0
0787-LHDYT,456,Male,36,No,0,0
0788-DXBFY,466,Male,54,Yes,0,3
0793-TWELN,467,Female,27,No,0,0
0794-YVSGE,468,Male,29,Yes,1,9
0795-GMVQO,469,Male,36,Yes,0,1
0795-LAFGP,470,Male,25,Yes,0,1
0795-XCCTE,471,Male,80,No,0,0
0799-DDIHE,472,Female,24,Yes,3,7
0804-XBFBV,473,Female,49,No,1,0
0804-YGEQV,474,Female,59,Yes,1,9
0807-ZABDG,475,Female,43,No,2,0
0810-BDHAW,404,Female,54,Yes,0,4
0810-DHDBD,476,Female,31,No,0,0
0811-GSDTP,342,Female,50,No,2,0
0812-WUPTB,477,Male,65,Yes,0,1
0813-TAXXS,284,Male,48,No,0,0
0815-MFZGM,20,Female,54,Yes,0,9
0816-TSPHQ,478,Male,35,No,0,0
0817-HSUSE,479,Male,26,No,0,0
0818-OCPZO,480,Male,80,No,0,0
0820-FNRNX,339,Male,48,Yes,3,1
0822-GAVAP,481,Female,19,No,0,0
0822-QGCXA,482,Female,76,Yes,0,5
0823-HSCDJ,88,Male,76,No,0,0
0824-VWDPO,113,Female,58,No,0,0
0825-CPPQH,483,Female,26,Yes,0,2
0827-ITJPH,484,Male,33,No,0,0
0829-DDVLK,485,Female,58,No,0,0
0829-XXPLX,486,Female,48,No,0,0
0831-JNISG,355,Male,52,Yes,2,9
0835-DUUIQ,487,Female,55,No,0,0
0835-JKADZ,488,Female,29,No,0,0
0836-SEYLU,489,Male,64,Yes,0,2
0839-JTCUD,490,Female,31,Yes,0,9
0839-QNXME,491,Female,35,No,0,0
0840-DCNZE,492,Male,33,No,0,0
0840-DFEZH,493,Female,63,No,0,0
0841-NULXI,37,Male,38,No,0,0
0842-IWYCP,494,Female,19,No,0,0
0843-WTBXE,182,Male,38,No,0,0
0847-HGRML,495,Male,44,No,2,0
0848-SOMKO,496,Male,23,No,0,0
0848-ZGQIJ,497,Female,56,Yes,0,3
0851-DFJKB,498,Female,57,No,0,0
0853-NWIFK,499,Female,27,No,0,0
0853-TWRVK,500,Male,59,Yes,0,5
0854-UYHZD,501,Female,21,Yes,3,1
0856-NAOES,502,Male,29,No,0,0
0859-YGKFW,367,Male,56,Yes,3,1
0862-PRCBS,503,Female,32,Yes,3,6
0864-FVJNJ,504,Female,63,Yes,1,1
0866-QLSIR,285,Female,53,No,0,0
0867-LDTTC,505,Male,51,No,0,0
0867-MKZVY,479,Female,26,Yes,1,5
0868-VJRDR,506,Male,61,Yes,0,1
0869-PAPRP,507,Female,68,Yes,0,4
0870-VEMYL,508,Female,34,No,0,0
0871-OPBXW,124,Female,57,No,0,0
0871-URUWO,509,Male,36,Yes,0,1
0872-CASZJ,510,Male,30,Yes,0,1
0872-JCPIB,294,Male,47,No,0,0
0872-NXJYS,428,Female,40,No,0,0
0875-CABNR,511,Female,70,No,0,0
0876-WDUUZ,512,Female,62,No,0,0
0877-SDMBN,182,Female,20,No,0,0
0880-FVFWF,513,Male,32,No,0,0
0880-TKATG,514,Male,21,Yes,0,3
0883-EIBTI,109,Female,23,No,0,0
0885-HMGPY,515,Male,55,No,0,0
