ServiceID,ServiceHash,PhoneService,MultipleLines,InternetService,InternetType,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData
37,3fd38037cc1eb47bf0de07f7db9f71fc55207e2282757e8e86b20561c163e9c6,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No
38,f72547fd970e829d304443e28bd570b00904d5de544d86de1e94942a7125734e,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No
39,df8b977003dca02d52a4e7745f537809b11b1d77262de501336ee7ee813c6041,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes
40,61045a9798b1e98e55c7bbbcea72f0ae4662e67aec021f451e82417b599c55d8,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes
41,a4b16956a9bd2dedcf0d8389847d5902e218e9bc17c7caff817cf42545ea65a7,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes
42,b833a134ded93033bf81adf672ffe4cab135b65952dfb1b486f79510c7b92c80,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No
43,21a914f6f9e9c6e1965e4376cdaa6f4385316015fbe07d99665e18714bc13c2c,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes
44,a64ecf255291888e5126da9a9a6b7fef4ac68f4a1ebd2828efbf02838616a174,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes
45,25800a55df61197c8cebc7cb79c04cf544c17f64d3cc11af4961574dfbe687de,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes
46,0622b14bede2ef4c385103c18462873edb5e70a5ea0bb1efcf4774ba7179ec67,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
47,dfb29a390afb6416a885e1b86098194f2be1ce4594a024cacd29d24b84182c90,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes
48,6425b836bb68366bb4d1efb300a5f6b44599beec8a19a7ce8b62c3d7a4164d57,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes
49,df86d0322074a02440be948a4399a94c0faee3553287e0332ac90cc924d91b91,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes
50,f3822e50c7deacfbfe0e4f01158bd044edef29600195192b89e87ddb41fc3e83,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes
51,625fa221ae695595ed5e9eb6a1cfcaf0fc0b73046486619975ed5d2b1f373a9d,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes
52,c0761d24e8fc6f18488e5dd845acab5094f334ba61a686ff755b7008e93d3969,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
53,62006c45a667e20eb70480d0405c6dbc36d7e145912f845a1dae1d2c52b154af,No,,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
54,dbd793aa66a1ab77353d1bf7cbd8a1301b48c2a54dc321411057775b7f535fb2,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No
55,584996510af2b4b7f84855ae1ec141eb00e941ccfcc98e24db705120b470baca,No,,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes
56,d622d03bc9d0d26ae5b2ec6dc603f94db26beae9bd243411b395292e566ff194,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes
57,3e8cc140bb5c41c494302c40a0b544049158c9de230f3bb4c448018d97afa17a,No,,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes
58,c138b910781fff041ec71ef0f883751a52ba5eb7e569cef379d218ee4411fbc9,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes
59,b17f0fe023707695cc345369510cf811b34e5d28185074811a2f6d789607a987,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
60,88b3c166ca6b8d4d84bd218a62ce2b0ac271f1cbe44c93dac697bd441a72d472,No,,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes
61,71eb5d19d07b7300e65a794a144f78a1d4e299a8d0ad1105b5feb1f375183ca7,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes
62,bbd36ef28a131d1dfc9fca7524b202f81346b0b7332d9cde4078c18bcf72810f,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No
63,7e3bd9f4dd200a0411263b9f683fe856ed04555bf5991c567ec959b86af6863c,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes
64,8881663b2621db4d8d21de856a6328736f6a1ed0aa83a8dbc2716a2f7030b0f2,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes
65,b26a0cbc49bca2ba321b8984fd51f9e5b4183fb512d17e131cb3e60bd865853b,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes
66,2b287aee8d5723f75191902a266506db11cbb19497c3988e3ddf941166a5f1b5,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes
67,56678b910456c53feb6b7001fc600adbf1d663917f1066e5ce6b838a0b0336df,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes
68,4302ea4e925f2bae052ea47d19025d6cecfaac57d47147eefc435c556ce1de05,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes
69,5eee25b8e21938619180db7c261ba3f402a3cb31b16f354d919d948c2d32da7c,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes
70,9f74f43de6117e9e6994dd58aafa8773f321ed961e19b6c4c504acbed58e6332,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes
71,48db6d7d5c7f802cd451a93796aceeae5be3085366edc806955467c053934bd7,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes
72,3993ac861d0c7ce09e1415f8b382c8780e6028c4d0b9196df2573ad46645765d,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes
73,5d3a599453c1e163247ec52c103dbf590e65ba8b874b39c21b0b360a0c12ebea,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes
74,959ec0043316c9aaab9225d474118666142b961af7f90010cfcb7ffea6105b94,No,,Yes,Cable,Yes,No,No,Yes,No,No,No,Yes
75,0bbf3deda85c971741a20cbbaa1fc8b9f002833e8098e04d0aaa29e4c6f9cc00,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes
76,e26946ef30ce4cb569ce39742309424c35b2d8877dcf230e6f5fac8cd4744bd8,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
77,322046894f46befedffaa0e7a3c6b5682bf8d3637352b3414f50d7f8e137fb0d,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No
78,c42e1fb180e61881c9352fe17b523fd06d3d8007b10a81246e93e9f3d2db0333,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes
79,32df603efb0355351459c9ef0b3c02bf11076328f61b936d69792d2f57af718d,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,No
80,9b00e544145673eb44a520eb68ca3441bcbdf00bac768469aedfe64e7ea319bb,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes
81,1ccd3223373aa4d21284a1b054e65808518830accda50eace45df2031fe7f8db,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
82,a78249e4e9bc7c79b155db8f271ff68c2edf569d931d2886fc5816195ee0d9da,No,,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes
83,5fb018128b218c93ff346f5f1ad20dcfbe5642d54cc56b0237e04b30fa80f57a,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No
84,85696f5f1c8abf212b902c132f1eb273b3c9fc0dd91c250ed7d1ae2bcf4f9d9e,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes
85,8133cb0807574784cf8349494fabfb9fc101582e7a832f9ab4ac6694e077e500,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Yes,Yes
86,b2edd19ebf14694c83f7ef53805deca2b835633a63868d3b68f38fcc0c72e3f5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes
87,e6a2bbf927afefea1b2ab6cee20e0ed4c837dd6383b5dd017a171633e3aec9d4,No,,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes
88,dabe95f1090e55adc5d017311a533b1db4cedb36109cb480d0c51fe04888cdab,Yes,Yes,Yes,Cable,No,No,No,No,No,No,Yes,Yes
89,8220a4cce78356e9c8e2a7c9d9c199a9ded69a3de0943513ea93523efef05033,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes
90,8c28105c1c7b41c1a9f337284f607f09b33c0b48669e3574d2b13808995049ff,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes
91,20634f8da33f4cec7d79922e98d9a744744d8dc750851a07258328753873aa8a,Yes,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,Yes
92,41a94cc815ce8e0e1695f74468abab7c981ff264df4fea767f0815a4c221e8c3,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes
93,2447b734433266147f4dd0c1f91eeb0eb80e911dc420c29831bcceda0529a8a0,No,,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes
94,ecb428d6180c46d3ef6d6cdaa54055ecefc162894a0910dad9bf6dfedded05aa,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes
95,65365c526640a9f7e5a5abdbec59bf2a05e25aabd884f6e19e042100e5bcafb8,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes
96,d245905db2c4c4f6ddb2f2982c2e929b8e617c2f65e4e72748fb8fe308cb494c,No,,Yes,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes
97,e06bd4db8047d7300cf8af2605ebc789e01b5e71c1d0fa04f7b2036c84ec8220,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes
98,0408eed32d06e1480c4d68301508df8fe1112d095b673b6464b0c53a9d5a4159,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
99,6fe90fc747bdb0c92237f97469a6f0f05bbfb4a71d2249eb2da543255f74ea85,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,No
100,117ccd40daccba5bdca242312c4dc9770f30ccd43255af84ba1eabb85e57a9db,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes
101,3245fc47ff75baf1d402b134135fc626807bc0c1654ca3bcdc9fc92f6c87168f,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes
102,4186734c8a0f94dfd27dca563086541f1edffe5e19da1de1594dd17b04d701eb,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
103,d06d16e9a5125a02dfef9a8d808f1453bd707676f6e2d1dcc57f6ecf55bab8d7,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes
104,229e0ed2d18caca7cb98bbe50541bc4f76341815e912f46ca9ce386492073949,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Yes,Yes
105,26c4f434abb39ba8aa6fd1337aee83825498ab2116dda2f6e8419f6f025458f4,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes
106,1026cf8779bb3806fe4772a846bb98046e7008d641fb11e6212980c134dd5efe,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes
107,35b7017d78f8a249f62bbd60e5b5ee65576e5505890b49723ac63c2c594a0420,Yes,Yes,Yes,Cable,No,No,No,No,Yes,No,Yes,Yes
108,1eab2bb116aa7d3926c5437af1452df2ee0a2eaab9061c1fbd97cd7cbaea15ce,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes
109,c8fe90e00c6fd3ad2a0ee15fbcb110dc76fe77334376d8bf66f5807fac37536d,Yes,Yes,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes
110,2e354433e21d87e4b7c483f7f221bdcda2d11a62c47bc3fe6fd2099681c69cf1,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
111,6aada7d2aac543af3b8d76552391c396fa15bfa47bccbf70903be2895e375f91,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes
112,2f4b01604735a5c52a57d18a8b8778c1bb9cb2cc03584a3775b0fda45eefda60,No,,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
113,cc31d386df5845f9ea9a23c48bb06d6b1139f522d8f6a81897bb971352b4dec8,Yes,No,Yes,DSL,No,No,No,No,Yes,No,No,Yes
114,0329393a5aac224802c5b255113ed9b53ed6ba7d69bfda5e9a55c4b11867ae31,No,,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,No
115,ba39676fb8880d29e8b58a18bd86d1b9298186173fb3951af855566302b14dbd,No,,Yes,DSL,No,No,No,Yes,No,No,No,Yes
116,fa38a8ebde12070c78f57df6f6754c4c0f4d6e149c58c0254cbbf4ce7249ecf6,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,No,Yes
117,eb756b5b80ef2a424ff74c7066568e9db160be4a7dadd7be8829ba4e0b7a15fe,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes
118,9e85adcc2112f9fde5ebb3af1aec2d36bad5bdc94333413cf9eab5252d79629f,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,No,No,Yes
119,0f2a3bfcf789660300726ff03f3f9a3f42d9a76e3883daed6a24a402fe3e069d,Yes,No,Yes,DSL,No,Yes,No,Yes,No,Yes,Yes,No
120,0dabdd66091f30d54d86b71c908c0dd03618a28f71558bf2e150667bd17e1ab1,No,,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes
121,4006304797dddba54b45429f17352de089e24bfe789f71ae3474ee636c679e70,No,,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
122,d60e8fad3fff39d8028a85644a41ca4420cafdc26a264ccbda3fa89500f4be9a,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes
123,f5a536e1ddc043002f6ecdcdcd72ce64b6ea1ec6d7d8ac4c37d67b116b6649f2,Yes,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Yes,No
124,ab2a6c82d23831bae82537abb8ee53aec0ab41d4b3b778a86a73ad545b583bb6,No,,Yes,DSL,Yes,No,No,Yes,No,No,No,No
125,9a35db81100036abdb05da574aab6d45b882697e0624ce5daf905d07fffb827b,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes
126,776b42778143e28ad3d4cfb4783ca7b60963277414a3436cbdc4c5f4ce180053,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,Yes
127,3ead310445d2e2ac440435d2f1c2f6837224a03648d10a59c20c12a4b47d956c,No,,Yes,DSL,No,Yes,Yes,Yes,No,No,No,Yes
128,16cc83ba17bf08d04f65f5cb7a1d02dc130ca6f87cb4dbb9b00daef66ef7bb13,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
129,f6bcb2aa384849a2b9afe937664970863df0b4c127e0fd11f7259f5e04d66c37,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No
130,63403ca1b2d3db3f9de13a960b4b3fb61b1066cd71c5012c39ee28977f48931d,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,No
131,6802dc271bc3a1c3b93401f0202c146aaaadbd8382224e94d3e2534260d60933,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,No
132,f7d7626dec6b3853025b6015f291a3154a493047b11217d0b930824205ad20ba,Yes,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes
133,1461f9f0a5dbd4269ab9db8c24fa5609f0b6f6943d14a725fc8f0dda9a49e6ca,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
134,0e42241e91b8e464f3aea7a9d487b9ffc9847d2ce9a540f1ce758beb08886586,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
135,13b5d8f1b1341a050f436306da2cc54f3f244fa59b83d4cd9a3cecfc6f4600db,Yes,Yes,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes
136,93ec4f647d6d2547a6bdd0aad3d14e107b5e3b948cc3195617295ea00b9a8bfe,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No
137,b2b0755031ccd7d198df38cfd4486d4c43791702fcf568ccf71ce55eb0921ebb,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No
138,63a167bdbfc0848c3724f9b5a2fb1cf3a4182b0b9d77cda2749fb05a4dc31a65,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes
139,11b53e14a1039dbf876ae01bd442091b4c7c577cf8cad470dec32cb85a514aa3,Yes,Yes,Yes,Cable,Yes,Yes,No,Yes,No,No,No,No
140,0abf66757cac144056ecbd9ad72812f3dd3afb0fc1a566d084e2d345b107fede,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No
141,18c0ad371841152549ff40bd126fdfd58657f430d2361e9eb7d03e7b0d9f10cf,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No
142,59f4650a72fa31dfdd6bc544a221f9084d92eb1136969d4bcce735ed78a31f62,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No
143,effbef2597ceaa69dddc6c9fe58b6cb041a9d036dfd808c53d0fe7c660561b66,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Yes
144,825391f2ee375f23f793b3812c2520b9c827da8dcd49c4803cfc132bddb04035,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Yes
145,8dfe44e7fd07467852799d46998b0a89bf4140a940d8df65379a36e22dbbf862,No,,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
146,74a7d1e24d42b5904066262e04ffb78bea117a568a124536eabc0d5782eda715,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes
147,af88fcaadcf74868280d49901b4c1c93156ef51d1a24173cdc05bc735da489a8,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,Yes
148,2cd47f56728ba610774c81c8cd0c1650382d4c33052cb4583806930489d7b984,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No
149,84e79284fb147370df9b94396bf799cd3eb98827c6738416ebdafd687d17ef7a,No,,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes
150,8872e2bd36fa481f4e629d335de6c646e6b27d093f36620ca3c9018c7e5b0e1d,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,No
151,110830d510ec8c7f0a192366cfbd63465d4492dbcc42ff6c9eabfb1646620469,No,,Yes,DSL,No,No,No,No,Yes,No,No,Yes
152,9a7d10fcfd78d4cfcd616fc85d8f88c2c4dfc1b79c71bb58b1d64464ddbb4dbc,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes
153,b4ef9686ed7ddb86b24d880c27c986b460f00a80f04f42d03421088b6f427d06,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,Yes,Yes
154,a834d1b8c8a93faa147899ba42f58dc847b94c4cf3eee91c9cdd3b4edf039fba,Yes,No,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes
155,d050b673963215aeafcdf42ed4b0d53f904262fe1ac0bc9524fc5baeb2ca3c54,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes
156,34468234b8850f12bcda23f43405a25a85ccb4ece2858b3e9452b5e50788c7dd,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
157,a1bce5655586718b038df0c09a9612c9465061249cd282979b893ecdf333266c,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
158,5d94d56dd09c2d7a32e1c91411b8a2fa027f554f59d8acb4567bcde2313116ae,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes
159,ef8925a5bc236ecc5086a182a967d7844b7a2979402ed3c1290d89d5b0d05344,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
160,1f6ff358529bfeb36ffce7933d0a00d0adcbf6652704ac497e40be04e2215929,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,Yes,Yes
161,4406d87415993c593ea600cf53dadb6cd5abded3af183e4b82a5edb01ec67c9c,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes
